label,consensus_count,unanimous_count,retention,ipw_weight,test_support,Consensus predicted,Consensus recall,Consensus f1,Unanimous predicted,Unanimous recall,Unanimous f1,Unanimous-IPW predicted,Unanimous-IPW recall,Unanimous-IPW f1
childabuse_endangerment_ongoing,39,15,0.3846153846153846,1.8266875421567754,9,9,0.4444444444444444,0.4444444444444444,4,0.2222222222222222,0.30769230769230765,5,0.2222222222222222,0.2857142857142857
suicideideation_active_past,60,24,0.4,1.7564303289968994,11,12,0.8181818181818182,0.7826086956521738,12,0.9090909090909091,0.8695652173913043,10,0.7272727272727273,0.761904761904762
suicideideation_passive_past,14,6,0.42857142857142855,1.6393349737304397,4,4,0.5,0.5,2,0.25,0.3333333333333333,4,0.5,0.5
childabuse_endangerment_past,143,66,0.46153846153846156,1.5222396184639795,31,40,0.6129032258064516,0.5352112676056339,32,0.5161290322580645,0.5079365079365079,35,0.6451612903225806,0.606060606060606
rape_ongoing,55,31,0.5636363636363636,1.24649894315909,11,9,0.5454545454545454,0.6,16,0.6363636363636364,0.5185185185185185,18,0.7272727272727273,0.5517241379310345
sexualharassment_past,156,90,0.5769230769230769,1.2177916947711838,38,38,0.7105263157894737,0.7105263157894737,40,0.7368421052631579,0.717948717948718,37,0.6842105263157895,0.6933333333333334
selfharm_past,214,127,0.5934579439252337,1.1838617020640518,30,25,0.6333333333333333,0.6909090909090909,24,0.5,0.5555555555555556,23,0.5333333333333333,0.6037735849056605
sexualharassment_ongoing,219,131,0.5981735159817352,1.1745289833597587,25,34,0.92,0.7796610169491526,29,0.8,0.7407407407407408,33,0.92,0.793103448275862
domesticviolence_past,267,168,0.6292134831460674,1.1165878520051717,33,32,0.7575757575757576,0.7692307692307692,37,0.7878787878787878,0.7428571428571429,33,0.7878787878787878,0.7878787878787878
domesticviolence_ongoing,233,150,0.6437768240343348,1.091328711083407,25,38,0.88,0.6984126984126985,33,0.8,0.689655172413793,38,0.88,0.6984126984126985
suicideideation_active_ongoing,434,282,0.6497695852534563,1.0812634933115663,54,55,0.9074074074074074,0.8990825688073394,54,0.8888888888888888,0.8888888888888888,55,0.8888888888888888,0.8807339449541284
suicideideation_passive_ongoing,600,411,0.685,1.0256527468595034,77,79,0.8311688311688312,0.8205128205128205,83,0.8571428571428571,0.825,82,0.8701298701298701,0.8427672955974842
selfharm_ongoing,703,488,0.6941678520625889,1.0121069846596888,74,94,0.9594594594594594,0.8452380952380952,97,0.9459459459459459,0.8187134502923976,97,0.9459459459459459,0.8187134502923976
rape_past,352,248,0.7045454545454545,0.997199154527272,62,63,0.8870967741935484,0.88,64,0.8870967741935484,0.8730158730158729,60,0.8387096774193549,0.8524590163934426
no_crisis,1160,1020,0.8793103448275862,0.7990036006417268,186,160,0.7956989247311828,0.8554913294797687,160,0.7795698924731183,0.838150289017341,154,0.7741935483870968,0.8470588235294116
